id,descripcion,tipo,clasificacion,tipo_red,jurisdiccion,geojson,geom
28333436,Punto de Conex. Cruz,ACRZ,S,AT Geografico,MERLO                                                                                                                                                ,"{""type"":""Point"",""coordinates"":[-58.7367026131417,-34.6641715597516]}",0101000020E610000021296F454C5E4DC07A08DC92035541C0
28333437,Punto de Conex. Cruz,ACRZ,S,AT Geografico,MERLO                                                                                                                                                ,"{""type"":""Point"",""coordinates"":[-58.72881795445,-34.6557788017221]}",0101000020E6100000D38C1FE8495D4DC03A674D8FF05341C0
28333438,Punto de Conex. Cruz,ACRZ,S,AT Geografico,MERLO                                                                                                                                                ,"{""type"":""Point"",""coordinates"":[-58.7176471855737,-34.6523096661746]}",0101000020E6100000820DECDCDB5B4DC0D58A15E27E5341C0
28333439,Punto de Conex. Cruz,ACRZ,S,AT Geografico,MERLO                                                                                                                                                ,"{""type"":""Point"",""coordinates"":[-58.7133419000934,-34.6479873127398]}",0101000020E610000043E291C94E5B4DC059388E3FF15241C0
28333440,Punto de Conex. Cruz,ACRZ,S,AT Geografico,ITUZAINGO                                                                                                                                            ,"{""type"":""Point"",""coordinates"":[-58.6996778230138,-34.6381726058279]}",0101000020E610000056CAFB0A8F594DC0EB9DD3A3AF5141C0
28333441,Punto de Conex. Cruz,ACRZ,S,AT Geografico,ITUZAINGO                                                                                                                                            ,"{""type"":""Point"",""coordinates"":[-58.6971328355126,-34.6358913709621]}",0101000020E610000049BF14A63B594DC0A60B71E3645141C0
28333442,Punto de Conex. Cruz,ACRZ,S,AT Geografico,ITUZAINGO                                                                                                                                            ,"{""type"":""Point"",""coordinates"":[-58.6910441502431,-34.6401682790069]}",0101000020E610000069B17C2274584DC0BB22BF08F15141C0
28333443,Punto de Conex. Cruz,ACRZ,S,AT Geografico,ITUZAINGO                                                                                                                                            ,"{""type"":""Point"",""coordinates"":[-58.6897752328768,-34.6393770884854]}",0101000020E6100000FB65098E4A584DC09C6DC21BD75141C0
28333444,Punto de Conex. Cruz,ACRZ,S,AT Geografico,ITUZAINGO                                                                                                                                            ,"{""type"":""Point"",""coordinates"":[-58.6839561634564,-34.6335990663709]}",0101000020E6100000B3F824E08B574DC0656B32C6195141C0
28337086,Punto de Conex. Cruz,ACRZ,S,AT Geografico,MERLO                                                                                                                                                ,"{""type"":""Point"",""coordinates"":[-58.7337066907724,-34.6569996952421]}",0101000020E6100000A7DCD019EA5D4DC0F945E690185441C0
28337087,Punto de Conex. Cruz,ACRZ,S,AT Geografico,MERLO                                                                                                                                                ,"{""type"":""Point"",""coordinates"":[-58.7171251600903,-34.6566327952564]}",0101000020E610000005DDDAC1CA5B4DC0C18D1E8B0C5441C0
28337088,Punto de Conex. Cruz,ACRZ,S,AT Geografico,MERLO                                                                                                                                                ,"{""type"":""Point"",""coordinates"":[-58.7121245861065,-34.6490938955148]}",0101000020E61000009D0000E6265B4DC075A23E82155341C0
28337089,Punto de Conex. Cruz,ACRZ,S,AT Geografico,ITUZAINGO                                                                                                                                            ,"{""type"":""Point"",""coordinates"":[-58.6998461512546,-34.6384155057253]}",0101000020E61000005FEF058F94594DC0B92C6B99B75141C0
28337090,Punto de Conex. Cruz,ACRZ,S,AT Geografico,ITUZAINGO                                                                                                                                            ,"{""type"":""Point"",""coordinates"":[-58.666545220006,-34.6287173044427]}",0101000020E61000008A9D905A51554DC05E8102CF795041C0
28337260,Punto de Conex. Cruz,ACRZ,S,AT Geografico,MERLO                                                                                                                                                ,"{""type"":""Point"",""coordinates"":[-58.7346893978994,-34.6612830845735]}",0101000020E610000012595C4D0A5E4DC018D292ECA45441C0
28390102,Punto de Conex. Cruz,ACRZ,S,AT Geografico,MERLO                                                                                                                                                ,"{""type"":""Point"",""coordinates"":[-58.7452230556136,-34.6597157314409]}",0101000020E6100000F40A1678635F4DC00499A990715441C0
28390103,Punto de Conex. Cruz,ACRZ,S,AT Geografico,MORENO                                                                                                                                               ,"{""type"":""Point"",""coordinates"":[-58.7498180788397,-34.6529911402003]}",0101000020E61000007648EF09FA5F4DC078DEB336955341C0
28390104,Punto de Conex. Cruz,ACRZ,S,AT Geografico,MORENO                                                                                                                                               ,"{""type"":""Point"",""coordinates"":[-58.7450606771456,-34.6498100731092]}",0101000020E61000001BF0F4255E5F4DC0C54EFAF92C5341C0
28390159,Punto de Conex. Cruz,ACRZ,S,AT Geografico,MORENO                                                                                                                                               ,"{""type"":""Point"",""coordinates"":[-58.7426006734096,-34.6491746838088]}",0101000020E61000000E24F3890D5F4DC0C42CF227185341C0
28406114,Punto de Conex. Cruz,ACRZ,S,AT Geografico,ITUZAINGO                                                                                                                                            ,"{""type"":""Point"",""coordinates"":[-58.671907215451,-34.6803311543711]}",0101000020E61000007E273E0E01564DC09F3C5D17155741C0
28406172,Punto de Conex. Cruz,ACRZ,S,AT Geografico,ITUZAINGO                                                                                                                                            ,"{""type"":""Point"",""coordinates"":[-58.6928600082789,-34.6629575496725]}",0101000020E6100000CF2102A3AF584DC06C3D01CBDB5441C0
28406853,Punto de Conex. Cruz,ACRZ,S,AT Geografico,"","{""type"":""Point"",""coordinates"":[-58.6855044006069,-34.6674800765787]}",0101000020E61000006EEFB29BBE574DC08DD1B5FC6F5541C0
28406854,Punto de Conex. Cruz,ACRZ,S,AT Geografico,ITUZAINGO                                                                                                                                            ,"{""type"":""Point"",""coordinates"":[-58.6708997896314,-34.6795320269651]}",0101000020E610000013AE570BE0554DC02D33CCE7FA5641C0
28442968,Punto de Conex. Cruz,ACRZ,S,AT Geografico,ITUZAINGO                                                                                                                                            ,"{""type"":""Point"",""coordinates"":[-58.6847111825866,-34.6668293857362]}",0101000020E61000001635B49DA4574DC0DBDF51AA5A5541C0
28481482,Punto de Conex. Cruz,ACRZ,S,AT Geografico,SANMIGUEL                                                                                                                                            ,"{""type"":""Point"",""coordinates"":[-58.7513966062756,-34.5515030947896]}",0101000020E6100000B52395C32D604DC0D2E145A7974641C0
28551868,Punto de Conex. Cruz,ACRZ,S,AT Geografico,SANMIGUEL                                                                                                                                            ,"{""type"":""Point"",""coordinates"":[-58.738233206368,-34.5606454821367]}",0101000020E61000000016FB6C7E5E4DC0B5362D3BC34741C0
29293187,Punto de Conex. Cruz,ACRZ,S,AT Geografico,TIGRE                                                                                                                                                ,"{""type"":""Point"",""coordinates"":[-58.5809566159066,-34.4290863896312]}",0101000020E610000056DB50C95C4A4DC0F24F854DEC3641C0
29293200,Punto de Conex. Cruz,ACRZ,S,AT Geografico,TIGRE                                                                                                                                                ,"{""type"":""Point"",""coordinates"":[-58.5836357202707,-34.4329030973536]}",0101000020E610000081AB4593B44A4DC048BC625E693741C0
29318033,Punto de Conex. Cruz,ACRZ,S,AT Geografico,PILAR                                                                                                                                                ,"{""type"":""Point"",""coordinates"":[-58.770195526971,-34.4523474608078]}",0101000020E6100000D6EE5BC495624DC08C4C8785E63941C0
29318034,Punto de Conex. Cruz,ACRZ,S,AT Geografico,PILAR                                                                                                                                                ,"{""type"":""Point"",""coordinates"":[-58.7827311078198,-34.4590714621286]}",0101000020E6100000EFD26E8830644DC03D2F8ADAC23A41C0
29318035,Punto de Conex. Cruz,ACRZ,S,AT Geografico,PILAR                                                                                                                                                ,"{""type"":""Point"",""coordinates"":[-58.7826728412039,-34.4607750338505]}",0101000020E61000001638A89F2E644DC0BA9922ADFA3A41C0
29318116,Punto de Conex. Cruz,ACRZ,S,AT Geografico,MALVINASARGENTINAS                                                                                                                                   ,"{""type"":""Point"",""coordinates"":[-58.7603363708922,-34.4712814201953]}",0101000020E61000008378C3B352614DC0C87917F3523C41C0
29453135,Punto de Conex. Cruz,ACRZ,S,AT Geografico,MALVINASARGENTINAS                                                                                                                                   ,"{""type"":""Point"",""coordinates"":[-58.7243142158258,-34.5074596826036]}",0101000020E6100000F27F0654B65C4DC017695A70F44041C0
29600051,Punto de Conex. Cruz,ACRZ,S,AT Geografico,TIGRE                                                                                                                                                ,"{""type"":""Point"",""coordinates"":[-58.6171598124859,-34.4844271984996]}",0101000020E61000002484BD17FF4E4DC09C6CDFB5013E41C0
29600052,Punto de Conex. Cruz,ACRZ,S,AT Geografico,TIGRE                                                                                                                                                ,"{""type"":""Point"",""coordinates"":[-58.616925476718,-34.4843873195344]}",0101000020E61000005B49FD69F74E4DC0A4FF5767003E41C0
30164843,Punto de Conex. Cruz,ACRZ,S,AT Geografico,LAMATANZA                                                                                                                                            ,"{""type"":""Point"",""coordinates"":[-58.6052626293656,-34.770895669905]}",0101000020E6100000E64EEF3E794D4DC05D6F95B5AC6241C0
