id,descripcion,tipo,clasificacion,tipo_red,seccion_completa,jurisdiccion,geojson,geom
18081703,CAT - XLPE,CATXL,C,AT Geografico,CAT Unipolar 500mm2 Pb PVC,GRALSANMARTIN                 ,"{""type"":""LineString"",""coordinates"":[[-58.5486952655232,-34.54791586821],[-58.5486795748086,-34.5479283721664],[-58.5458043793874,-34.5502195203852],[-58.5458934996099,-34.5505976445332],[-58.5500587372522,-34.5541112729228],[-58.5500739928591,-34.554124141149]]}",0102000020E6100000060000003A727EA53B464DC0F1756F1B224641C09DE4DE213B464DC0B0805384224641C0C8BDFBEADC454DC070D6DE976D4641C036F693D6DF454DC02B43CEFB794641C04CB01F5368464DC02FC6411EED4641C0E5DA18D368464DC05914348AED4641C0
18081776,CAT - XLPE,CATXL,C,AT Geografico,CAT Unipolar 500mm2 Pb PVC,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.7378103828153,-34.7163290792776],[-58.7377985397463,-34.7163139370271],[-58.7368228426227,-34.7150669302699],[-58.7368270873483,-34.7150179030493],[-58.7381476883941,-34.7140548450308],[-58.7381572430564,-34.7140015433368],[-58.7350238999926,-34.7090570540304],[-58.7350137786417,-34.709041083355]]}",0102000020E610000008000000A76B1492705E4DC0EC55D8ABB05B41C0949FBB2E705E4DC0A199D22CB05B41C04A01FE35505E4DC0F2FA2B50875B41C0DD7B9959505E4DC056D3E6B4855B41C0A2A29A9F7B5E4DC0977A2F26665B41C0D01DC1EF7B5E4DC065F60E67645B41C08D1F5E43155E4DC08107AD61C25A41C009B076EE145E4DC0D743B4DBC15A41C0
18081777,CAT - XLPE,CATXL,C,AT Geografico,CAT Unipolar 500mm2 Pb PVC,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.7350137786417,-34.709041083355],[-58.7350036573483,-34.7090251127334],[-58.7299859075152,-34.7011066504664],[-58.7299757881195,-34.7010906794579]]}",0102000020E61000000400000009B076EE145E4DC0D743B4DBC15A41C02C608F99145E4DC0C39DBB55C15A41C0CEA89F2D705D4DC07961DBDCBD5941C0256CBCD86F5D4DC0ADE6E156BD5941C0
18081778,CAT - XLPE,CATXL,C,AT Geografico,CAT Unipolar 500mm2 Pb PVC,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.7299757881195,-34.7010906794579],[-58.7299656687276,-34.7010747084396],[-58.7249927460383,-34.6932253254268],[-58.7249826285267,-34.6932093540164]]}",0102000020E610000004000000256CBCD86F5D4DC0ADE6E156BD5941C0A931D9836F5D4DC08066E8D0BC5941C03109F38FCC5C4DC0CEBB829BBB5841C055D8133BCC5C4DC011648815BB5841C0
18081786,CAT - XLPE,CATXL,C,AT Geografico,CAT Unipolar 500mm2 Pb PVC,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.7377553683845,-34.7163584166051],[-58.7377435051603,-34.7163432851099],[-58.73675596008,-34.7150810979804],[-58.7367636740818,-34.7149920009161],[-58.7380864087742,-34.7140273877898],[-58.7380893412399,-34.7140110287813],[-58.7349636207062,-34.7090819579347],[-58.734953499286,-34.7090659873619]]}",0102000020E61000000800000075D495C46E5E4DC045C4F1A1B15B41C0FBBF11616E5E4DC0C8200323B15B41C0A1D6F0044E5E4DC01FE804C7875B41C0F987A6454E5E4DC00F6B9EDB845B41C055A78D9D795E4DC0AF80DB3F655B41C0651327B6795E4DC0B3CCA0B6645B41C06557B549135E4DC0B1C19532C35A41C0D6C1CDF4125E4DC06B369DACC25A41C0
18081787,CAT - XLPE,CATXL,C,AT Geografico,CAT Unipolar 500mm2 Pb PVC,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.734953499286,-34.7090659873619],[-58.7349433778696,-34.7090500167972],[-58.7299257173853,-34.7011318171517],[-58.7299155978775,-34.7011158461913]]}",0102000020E610000004000000D6C1CDF4125E4DC06B369DACC25A41C04F2EE69F125E4DC0AAAFA426C25A41C0EE56B6346E5D4DC0016DF8AFBE5941C0ADDCD2DF6D5D4DC0A50CFF29BE5941C0
18081788,CAT - XLPE,CATXL,C,AT Geografico,CAT Unipolar 500mm2 Pb PVC,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.7299155978775,-34.7011158461913],[-58.7299054783626,-34.7010998752299],[-58.7249326817343,-34.6932508117936],[-58.7249225640995,-34.6932348404401]]}",0102000020E610000004000000ADDCD2DF6D5D4DC0A50CFF29BE5941C0875EEF8A6D5D4DC0C9AB05A4BD5941C0D6EC1798CA5C4DC0194A4E71BC5841C046783843CA5C4DC0B11154EBBB5841C0
18081789,CAT - XLPE,CATXL,C,AT Geografico,CAT Unipolar 500mm2 Pb PVC,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.7249225640995,-34.6932348404401],[-58.7249124464685,-34.6932188690859],[-58.7207830367187,-34.6866958186757],[-58.7208118717084,-34.686614178413],[-58.7212522993271,-34.6863258521109],[-58.721269283324,-34.6863145339964]]}",0102000020E61000000600000046783843CA5C4DC0B11154EBBB5841C0D10559EEC95C4DC0D4D85965BB5841C0F71B599E425C4DC091C109A6E55741C02FC73B90435C4DC078A030F9E25741C02DE3CEFE515C4DC0A09B8886D95741C038BE478D525C4DC05A249727D95741C0
18110407,CAT - XLPE,CATXL,C,AT Geografico,CAT Unipolar 500mm2 Pb PVC,CAPITALFEDERAL                ,"{""type"":""LineString"",""coordinates"":[[-58.463523279687,-34.5655406532492],[-58.4635105319286,-34.5655552763531],[-58.463510095486,-34.5655557770013],[-58.4633550224885,-34.5657336625468],[-58.463248860482,-34.5657503768037],[-58.4605498804345,-34.5641817615875],[-58.4605494290487,-34.5641163755532],[-58.4608450692477,-34.5637650899382],[-58.4608373798884,-34.5637243967469],[-58.4605705202513,-34.5635721772675],[-58.4604636863319,-34.5635093566262]]}",0102000020E61000000B0000005B9817BB543B4DC0C021D9A2634841C013FE2750543B4DC02A02841D644841C02FBD7E4C543B4DC06824B721644841C04103A6374F3B4DC03D71EDF5694841C0F7D618BD4B3B4DC0300923826A4841C05052694CF33A4DC04F82A31B374841C059FA9F48F33A4DC0C61124F7344841C08F78A2F8FC3A4DC0A2F45774294841C096B221B8FC3A4DC01AFEFB1E284841C098FD8CF9F33A4DC055261322234841C043E55C79F03A4DC08AD91813214841C0
18544923,CAT - XLPE,CATXL,C,AT Geografico,CAT Unipolar 350mm2 Pb Yute,SANISIDRO                     ,"{""type"":""LineString"",""coordinates"":[[-58.5181459130413,-34.5018467134832],[-58.5181268369792,-34.5018380249123],[-58.5174949506753,-34.501550217084],[-58.5145655077065,-34.5002023474726],[-58.5143577472351,-34.5001515259519],[-58.5143223483551,-34.4999962398712],[-58.5144966818648,-34.4998069942083],[-58.5145309980383,-34.4997564906424]]}",0102000020E610000008000000C588F39A52424DC0F5015B833C4041C0B800EEFA51424DC0A171783A3C4041C0727F48463D424DC0BBD629CC324041C0DE9F5548DD414DC07AE369A1064041C0D7688379D6414DC0008117F7044041C0BAE49050D5414DC04E2F75E0FF3F41C04041FB06DB414DC0E737F3ACF93F41C02AADD826DC414DC0F3A24B05F83F41C0
