id,descripcion,tipo,clasificacion,tipo_red,jurisdiccion,geojson,geom
18544974,Entrada AT,TEAT,S,AT Geografico,SANISIDRO                                                                                                                                                      ,"{""type"":""Point"",""coordinates"":[-58.514545676642,-34.4998139743894]}",0101000020E6100000DEBCFAA1DC414DC0100B81E7F93F41C0
18544975,Entrada AT,TEAT,S,AT Geografico,SANISIDRO                                                                                                                                                      ,"{""type"":""Point"",""coordinates"":[-58.5152997204587,-34.5001140952095]}",0101000020E61000000D815B57F5414DC0BC9819BD034041C0
18544976,Entrada AT,TEAT,S,AT Geografico,SANISIDRO                                                                                                                                                      ,"{""type"":""Point"",""coordinates"":[-58.5145309980383,-34.4997564906424]}",0101000020E61000002AADD826DC414DC0F3A24B05F83F41C0
18546809,Entrada AT,TEAT,S,AT Geografico,3DEFEBRERO                                                                                                                                                     ,"{""type"":""Point"",""coordinates"":[-58.5467400710743,-34.6240719548004]}",0101000020E6100000A0562294FB454DC0FB1BFE96E14F41C0
18546810,Entrada AT,TEAT,S,AT Geografico,3DEFEBRERO                                                                                                                                                     ,"{""type"":""Point"",""coordinates"":[-58.5463289779882,-34.6238819635256]}",0101000020E610000087A8A21BEE454DC00AF43A5DDB4F41C0
18547258,Entrada AT,TEAT,S,AT Geografico,MORON                                                                                                                                                          ,"{""type"":""Point"",""coordinates"":[-58.5697015209962,-34.6356239149349]}",0101000020E61000007A94BCFAEB484DC0B999DB1F5C5141C0
18547259,Entrada AT,TEAT,S,AT Geografico,MORON                                                                                                                                                          ,"{""type"":""Point"",""coordinates"":[-58.5698977817848,-34.6356254486882]}",0101000020E6100000146A1769F2484DC0854FB92C5C5141C0
18547260,Entrada AT,TEAT,S,AT Geografico,MORON                                                                                                                                                          ,"{""type"":""Point"",""coordinates"":[-58.5703884338488,-34.6356292816946]}",0101000020E6100000D8B2FA7C02494DC014A1E04C5C5141C0
18547261,Entrada AT,TEAT,S,AT Geografico,MORON                                                                                                                                                          ,"{""type"":""Point"",""coordinates"":[-58.5702903034288,-34.6356285152567]}",0101000020E6100000E939CD45FF484DC059B772465C5141C0
18547262,Entrada AT,TEAT,S,AT Geografico,MORON                                                                                                                                                          ,"{""type"":""Point"",""coordinates"":[-58.5698927720095,-34.636063434094]}",0101000020E6100000FA00113FF2484DC0C0CECF866A5141C0
18550475,Entrada AT,TEAT,S,AT Geografico,MORON                                                                                                                                                          ,"{""type"":""Point"",""coordinates"":[-58.6228743745686,-34.6426860650942]}",0101000020E6100000ED24F658BA4F4DC05A967789435241C0
18550476,Entrada AT,TEAT,S,AT Geografico,MORON                                                                                                                                                          ,"{""type"":""Point"",""coordinates"":[-58.6234631269943,-34.6426764351637]}",0101000020E6100000EE59C6A3CD4F4DC01278AF38435241C0
18552654,Entrada AT,TEAT,S,AT Geografico,TIGRE                                                                                                                                                          ,"{""type"":""Point"",""coordinates"":[-58.5814592663452,-34.428920356526]}",0101000020E61000005A74DA416D4A4DC01CEFBBDCE63641C0
18552655,Entrada AT,TEAT,S,AT Geografico,TIGRE                                                                                                                                                          ,"{""type"":""Point"",""coordinates"":[-58.5815840184211,-34.4288659690031]}",0101000020E6100000567F5958714A4DC0279E7F14E53641C0
18558781,Entrada AT,TEAT,S,AT Geografico,GRALSANMARTIN                                                                                                                                                  ,"{""type"":""Point"",""coordinates"":[-58.5550528321397,-34.5615140717602]}",0101000020E6100000D3CBA0F80B474DC0153A6FB1DF4741C0
18558782,Entrada AT,TEAT,S,AT Geografico,GRALSANMARTIN                                                                                                                                                  ,"{""type"":""Point"",""coordinates"":[-58.5548353169064,-34.5616724738603]}",0101000020E6100000B563FAD704474DC0912535E2E44741C0
18558783,Entrada AT,TEAT,S,AT Geografico,GRALSANMARTIN                                                                                                                                                  ,"{""type"":""Point"",""coordinates"":[-58.5542614262267,-34.5615068642502]}",0101000020E6100000008AD509F2464DC08C37F974DF4741C0
18558784,Entrada AT,TEAT,S,AT Geografico,GRALSANMARTIN                                                                                                                                                  ,"{""type"":""Point"",""coordinates"":[-58.554335021905,-34.5614532699509]}",0101000020E6100000070E3373F4464DC0EA5564B3DD4741C0
18558785,Entrada AT,TEAT,S,AT Geografico,GRALSANMARTIN                                                                                                                                                  ,"{""type"":""Point"",""coordinates"":[-58.5544086175001,-34.5613996756045]}",0101000020E61000004F6490DCF6464DC0665ACFF1DB4741C0
18558786,Entrada AT,TEAT,S,AT Geografico,GRALSANMARTIN                                                                                                                                                  ,"{""type"":""Point"",""coordinates"":[-58.5544822129903,-34.5613460812108]}",0101000020E6100000E180ED45F9464DC0DC443A30DA4741C0
18558787,Entrada AT,TEAT,S,AT Geografico,GRALSANMARTIN                                                                                                                                                  ,"{""type"":""Point"",""coordinates"":[-58.5545558083863,-34.5612924867698]}",0101000020E6100000B8694AAFFB464DC05E15A56ED84741C0
18558788,Entrada AT,TEAT,S,AT Geografico,GRALSANMARTIN                                                                                                                                                  ,"{""type"":""Point"",""coordinates"":[-58.5546294036882,-34.5612388922817]}",0101000020E6100000D71EA718FE464DC0EDCB0FADD64741C0
18558789,Entrada AT,TEAT,S,AT Geografico,GRALSANMARTIN                                                                                                                                                  ,"{""type"":""Point"",""coordinates"":[-58.5547029988961,-34.5611852977463]}",0101000020E61000003BA0038200474DC086687AEBD44741C0
18558790,Entrada AT,TEAT,S,AT Geografico,GRALSANMARTIN                                                                                                                                                  ,"{""type"":""Point"",""coordinates"":[-58.5541878304544,-34.5615604585023]}",0101000020E610000044D277A0EF464DC03AFF8D36E14741C0
18561739,Entrada AT,TEAT,S,AT Geografico,3DEFEBRERO                                                                                                                                                     ,"{""type"":""Point"",""coordinates"":[-58.562632073369,-34.6016128871037]}",0101000020E61000007A66E95304484DC02F7BADA6014D41C0
18561740,Entrada AT,TEAT,S,AT Geografico,3DEFEBRERO                                                                                                                                                     ,"{""type"":""Point"",""coordinates"":[-58.5626530498462,-34.6020018395783]}",0101000020E6100000C20AE00305484DC0708F72650E4D41C0
18569152,Entrada AT,TEAT,S,AT Geografico,LAMATANZA                                                                                                                                                      ,"{""type"":""Point"",""coordinates"":[-58.552648430568,-34.6694383910872]}",0101000020E6100000D7BC0B2FBD464DC007343E28B05541C0
18569153,Entrada AT,TEAT,S,AT Geografico,LAMATANZA                                                                                                                                                      ,"{""type"":""Point"",""coordinates"":[-58.5525957358299,-34.6693902748673]}",0101000020E610000039A60275BB464DC05F689D94AE5541C0
18573199,Entrada AT,TEAT,S,AT Geografico,MERLO                                                                                                                                                          ,"{""type"":""Point"",""coordinates"":[-58.7430661739017,-34.6676248187127]}",0101000020E6100000F4D5D9CA1C5F4DC03D2FE5BA745541C0
18573200,Entrada AT,TEAT,S,AT Geografico,MERLO                                                                                                                                                          ,"{""type"":""Point"",""coordinates"":[-58.7425599182099,-34.668032420273]}",0101000020E6100000180412340C5F4DC0C5DE1A16825541C0
18574284,Entrada AT,TEAT,S,AT Geografico,MERLO                                                                                                                                                          ,"{""type"":""Point"",""coordinates"":[-58.7422846693138,-34.6675201046847]}",0101000020E61000002C831D2F035F4DC084857D4C715541C0
